aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
98.37,16.4,16.67,16.53,99.18,98.37,16.67,0.002674700952971558,0.7592895498105892,500
98.37,16.4,16.67,16.53,99.18,49.19,16.67,0.0019533864132643955,0.7590163316823504,1000
94.83,19.27,35.94,22.41,44.82,40.63,35.94,0.001972324351973945,0.7591220406711404,1500
98.3,18.66,19.89,20.53,41.05,73.5,19.89,0.001992733345419017,0.7622053568738366,2000
98.38,18.27,18.73,20.02,40.05,57.05,18.73,0.001952528953552246,0.7650467950075411,2500
98.38,16.81,17.09,17.35,34.69,55.59,17.09,0.0019850621973802594,0.7641945441967339,3000
98.38,21.44,24.12,24.59,49.18,43.61,24.12,0.001973362743551961,0.7635954806042201,3500
98.19,24.66,32.08,29.62,35.55,48.31,32.08,0.0019921094632995916,0.7658772674308816,4000
97.53,23.13,34.7,27.81,55.62,39.12,34.7,0.001965229281314133,0.7641542805027841,4500
96.32,21.47,37.76,25.61,51.22,45.51,37.76,0.001937537628987114,0.7649655342102051,5000
97.87,24.85,36.67,30.04,60.08,54.04,36.67,0.001987328384128319,0.7625591803323194,5500
96.7,25.03,43.68,31.65,37.98,32.54,43.68,0.0019694209703939214,0.765435466911587,6000
97.33,24.85,36.32,31.12,37.35,43.75,36.32,0.001978355010753961,0.7594405043548739,6500
97.43,26.79,41.04,34.04,40.85,39.3,41.04,0.0019720980358607877,0.7575478045468403,7000
96.8,26.91,53.45,34.27,41.13,34.93,53.45,0.001960223701399595,0.7636546901034825,7500
97.6,28.15,47.63,36.02,43.23,37.19,47.63,0.0019169706983614694,0.7601779305995419,8000
98.41,30.55,38.68,38.77,46.52,49.33,38.68,0.0019714469231929877,0.7588133793796985,8500
97.34,27.8,47.59,35.79,35.79,31.24,47.59,0.0019154748335707612,0.7618920222151703,9000
98.48,25.95,29.53,31.41,37.69,54.16,29.53,0.0019961813379665316,0.7623259706545602,9500
98.04,29.95,43.38,38.42,46.11,44.76,43.38,0.001972501047976731,0.7624051117049861,10000
98.37,28.03,33.66,35.75,42.9,47.01,33.66,0.001974617769270379,0.7665883411610792,10500
98.38,29.22,35.51,36.99,44.38,40.75,35.51,0.001968512680324806,0.7662503404665719,11000
97.59,30.43,50.98,39.69,39.69,38.93,50.98,0.0019719425191734043,0.7663083808676241,11500
98.12,30.56,44.4,39.08,46.89,43.61,44.4,0.001981571241078643,0.765993768188554,12000
97.7,30.05,44.7,39.42,39.42,40.12,44.7,0.0019413662440885748,0.7641850389199814,12500
98.28,28.49,37.23,36.37,43.65,45.21,37.23,0.001950807982894975,0.759583195453973,13000
97.9,29.18,42.15,37.66,37.66,45.08,42.15,0.001961961010385891,0.7589829748657149,13500
97.66,28.58,45.63,36.74,44.08,42.34,45.63,0.0019755097210104695,0.758265605432733,14000
97.67,29.52,43.94,38.53,38.53,40.88,43.94,0.001952280247877092,0.7584356311614138,14500
97.31,30.1,46.55,39.56,39.56,38.74,46.55,0.0019357839816717933,0.7627137124840984,15000
97.13,26.7,42.27,34.46,34.46,34.92,42.27,0.0019714445026997986,0.7617261857550761,15500
97.91,27.55,42.9,34.62,41.54,34.26,42.9,0.0019617032278612784,0.7616720199584961,16000
98.09,30.26,44.04,38.63,38.63,40.24,44.04,0.0019815119389955164,0.761134609958242,16500
98.39,29.33,35.66,37.32,44.78,42.39,35.66,0.0019939375407804693,0.7614740919945809,17000
98.05,32.3,45.57,42.2,42.2,43.0,45.57,0.0019179013779925815,0.7629733636294525,17500
97.51,27.95,42.84,35.8,35.8,38.69,42.84,0.001978104489708915,0.755178594347184,18000
97.72,31.17,45.85,40.53,40.53,42.75,45.85,0.001963311645585268,0.760238640199458,18500
98.06,30.14,40.25,38.88,38.88,47.68,40.25,0.001967565057241372,0.7607563697747167,19000
98.01,31.47,42.07,41.09,41.09,45.29,42.07,0.00192747805929426,0.760743897578438,19500
